Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),Latitude,Longitude,Balancing Authority Code
57007,"SunE WF3-ST Holdings, LLC",57683,"Staples La Mirada, CA",CA,Los Angeles,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.1,0.9,0.9,3,2009,,,,Y,,,,,,,180.0,20.0,1.1,Y,,,,,,Y,1.0,N, ,33.881667,-118.0175,CISO
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,129.8,129.8,129.8,4,2013,,,,Y,,,,,,,180.0,25.0,166.0,,Y,,,,,N, ,N, ,35.405556,-120.068611,CISO
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,151.2,151.2,151.2,6,2013,,,,Y,,,,,,,180.0,25.0,191.9,,Y,,,,,N, ,N, ,35.405556,-120.068611,CISO
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,102.1,102.1,102.1,1,2014,,,,Y,,,,,,,180.0,25.0,131.4,,Y,,,,,N, ,N, ,35.405556,-120.068611,CISO
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,90.3,90.3,90.3,11,2014,,,,Y,,,,,,,180.0,25.0,116.1,,Y,,,,,N, ,N, ,35.405556,-120.068611,CISO
59874,Topaz Solar Farms LLC,57695,Topaz Solar Farm,CA,San Luis Obispo,TPZ5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,112.5,112.5,112.5,10,2014,,,,Y,,,,,,,180.0,25.0,146.7,,Y,,,,,N, ,N, ,35.405556,-120.068611,CISO
60281,"Altus Power America Management, LLC",57697,Aerojet I,CA,Sacramento,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.0,3.0,3.0,12,2009,,Y,,,,,,,,,225.0,45.0,3.0,Y,,,,,,N, ,N, ,38.613508,-121.162879,CISO
60281,"Altus Power America Management, LLC",57698,Aerojet II,CA,Sacramento,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.7,2.7,2.7,6,2010,,Y,,,,,,,,,225.0,45.0,2.7,Y,,,,,,N, ,N, ,38.6086,-121.1703,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,11,2011,,,,Y,,,,,,,180.0,20.0,22.5,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,10,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,12.0,12.0,12.0,10,2012,,,,Y,,,,,,,180.0,20.0,15.2,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,11,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,10,2012,,,,Y,,,,,,,180.0,20.0,22.5,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,12,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,12,2012,,,,Y,,,,,,,180.0,20.0,22.5,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,1,2012,,,,Y,,,,,,,180.0,20.0,22.5,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,12,2011,,,,Y,,,,,,,180.0,20.0,14.1,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,5,2012,,,,Y,,,,,,,180.0,20.0,22.5,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,6,2012,,,,Y,,,,,,,180.0,20.0,22.5,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,6,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,8.0,8.0,8.0,8,2012,,,,Y,,,,,,,180.0,20.0,11.3,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,7,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,9,2012,,,,Y,,,,,,,180.0,20.0,21.9,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,8,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,12.0,12.0,12.0,10,2012,,,,Y,,,,,,,180.0,20.0,15.6,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
56769,Consolidated Edison Development Inc.,57707,Mesquite Solar 1,AZ,Maricopa,9,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,16.0,16.0,16.0,10,2012,,,,Y,,,,,,,180.0,20.0,22.0,Y,,,,,,N, ,N, ,33.341833,-112.904028,CISO
